Site Name,Address,City,Zip Code,Days & Hours of Operation,Notes
Del Aire Park,12601 Isis Avenue,Hawthorne,90251,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Dexter Park,11053 N. Trail Road,Sylmar,91342,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Diamond Bar Library,21800 Copley Drive,Diamond Bar,91765,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
District 2 Community Center,1201 N. La Tijera Boulevard,Inglewood,90302,"Monday-Friday: 11 am - 6 pm; Saturday: 9 am - 5 pm; Sunday: Closed",Contact: 424-750-9185
Don Knabe Community Regional Park,19700 Bloomfield Avenue,Cerritos,90703,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Duarte Library,1301 Buena Vista Street,Duarte,91010,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Eagle Rock Branch Library,5027 Caspar Avenue,Los Angeles,90041,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-258-8078
East Los Angeles Library,4837 E 3rd Street,Los Angeles,90022,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
East Los Angeles Service Center,133 N. Sunol Drive,Los Angeles,90063,"Monday-Friday: 8 am - 5 pm",
East Rancho Dominguez Community Center and Park,15116 S. Atlantic Avenue,Compton,90221,"Monday-Friday: 8 am - 5 pm",
East San Gabriel Valley Comprehensive AJCC,14101 E. Nelson Avenue,La Puente,91746,"Monday-Friday: 8 am - 5 pm",Hacienda La Puente Adult School
Echo Park Branch Library,1410 W. Temple Street,Los Angeles,90026,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-250-7808
Edendale Branch Library,2011 W. Sunset Boulevard,Los Angeles,90026,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-207-3000
El Cariso Community Regional Park,13100 Hubbard Street,Sylmar,91342,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
El Monte Library,3224 N Tyler Avenue,El Monte,91731,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
El Retiro Library,126 Vista Del Parque,Torrance,90277,"Monday/Wednesday/Friday: 10 am - 2 pm; Tuesday/Thursday: 2 pm - 6 pm; Saturday: 9 am - 5 pm","Additional hours (permission required): Mon/Wed/Fri 2-6 pm; Tue/Thu 10 am - 2 pm"
El Sereno Branch Library,5226 S. Huntington Drive,Los Angeles,90032,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-225-9201
Encino-Tarzana Branch Library,18231 Ventura Boulevard,Tarzana,91356,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm",Contact: 818-343-1983
Ervin "Magic" Johnson Recreation Area,905 E El Segundo Boulevard,Los Angeles,90059,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Exposition Park - Dr. Mary McLeod Bethune Regional Library,3900 S. Western Avenue,Los Angeles,90062,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: 1-5 pm",Contact: 323-290-3113
Fairfax Branch Library,161 S. Gardner Street,Los Angeles,90036,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-936-6191
Felipe de Neve Branch Library,2820 W. 6th Street,Los Angeles,90057,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: 1 pm - 5 pm",Contact: 213-384-7676
Frances Howard Goldwyn - Hollywood Regional Library,1623 Ivar Avenue,Los Angeles,90028,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: 1-5 pm",Contact: 323-856-8260
Franklin D. Roosevelt Park,7600 Graham Avenue,Los Angeles,90001,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
George Lane Park,5520 W Avenue L8,Quartz Hill,93536,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
George Nye Jr. Library,6600 Del Amo Boulevard,Lakewood,90713,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
George Washington Carver Park,1400 E 118th Street,Los Angeles,90059,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Granada Hills Branch Library,10640 Petit Avenue,Granada Hills,91344,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-368-5687
Gus Velasco Neighborhood Center,9255 South Pioneer Boulevard,Santa Fe Springs,90670,"Monday-Friday: 8 am - 5 pm",
Hacienda Community and Recreation Center,1234 Valencia Avenue,Hacienda Heights,91745,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Hacienda Heights Library,16010 La Monde Street,Hacienda Heights,91745,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
Harbor City - Harbor Gateway Branch Library,24000 S. Western,Harbor City,90710,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 310-534-9520
Hart Park House Senior Center,222 W Sierra Madre Boulevard,Sierra Madre,91024,"Monday-Wednesday: 11 am - 8 pm; Thursday: 10 am - 6 pm; Friday: Closed; Saturday: 10 am - 6 pm; Sunday: Closed",Contact: 626-355-7186
Helen Keller Park,12521 Vermont Avenue,Los Angeles,90044,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Henderson Library,4805 Emerald Street,Torrance,90503,"Monday/Wednesday/Friday: 10 am - 2 pm; Tuesday/Thursday: 2 pm - 6 pm; Saturday: 9 am - 5 pm","Additional hours (permission required): Mon/Wed/Fri 2-6 pm; Tue/Thu 10 am - 2 pm"
Hyde Park Miriam Matthews Branch Library,2205 W. Florence Avenue,Los Angeles,90043,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-750-7241
Morningside Park Branch Library,3202 W. 85th Street,Inglewood,90305,"Monday-Friday: 11 am - 6 pm; Saturday: 10 am - 6 pm; Sunday: Closed",
Inglewood Senior Center,111 N. Locust Street,Inglewood,90301,"Monday-Friday: 10 am - 5 pm; Saturday-Sunday: Closed",Contact: 310-412-5338
Irwindale Senior Center,16116 Arrow Highway,Irwindale,91706,"Monday/Tuesday/Thursday: 8 am - 5 pm; Wednesday: 8 am - 7 pm; Friday: 8 am - 2:30 pm",
Jackie Robinson Community Center,1020 N. Fair Oaks Avenue,Pasadena,91103,"Monday-Thursday: 8 am - 8 pm; Friday-Saturday: 8 am - 5 pm; Sunday: Closed",
Jackie Robinson Park,8773 E Avenue R,Littlerock,93543,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Jefferson - Vassie D. Wright Memorial Branch Library,2211 W. Jefferson Boulevard,Los Angeles,90018,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-734-8573
Jesse Owens Park,9651 S. Western Avenue,Los Angeles,90047,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
John C. Fremont Branch Library,6121 Melrose Avenue,Los Angeles,90038,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-962-3521
John Muir Branch Library,1005 W. 64th Street,Los Angeles,90044,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-789-4800
Junipero Serra Branch Library,4607 S. Main Street,Los Angeles,90037,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-234-1685
Katy Geissert Civic Center Library,3301 Torrance Boulevard,Torrance,90503,"Monday/Wednesday: 12 pm - 8 pm; Tuesday/Thursday/Friday: 10 am - 6 pm; Saturday: 9 am - 5 pm",Contact: 310-618-5959
La Crescenta Library,2809 Foothill Boulevard,La Crescenta,91214,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
La Mirada Library,13800 La Mirada Boulevard,La Mirada,90638,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
La Puente Library,15920 E. Central Avenue,La Puente,91744,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Ladera Park,6027 Ladera Park Avenue,Los Angeles,90056,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Lake View Terrace Branch Library,12002 Osborne Street,Lake View Terrace,91342,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-890-7404
Lancaster Library,601 W Lancaster Boulevard,Lancaster,93534,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Lincoln Heights Branch Library,2530 Workman Street,Los Angeles,90031,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-226-1692
Little Tokyo Branch Library,203 S. Los Angeles Street,Los Angeles,90012,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-612-0525
Lloyd Taber-Marina del Rey Library,4533 Admiralty Way,Marina Del Rey,90292,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 10 am - 6 pm",
Loma Alta Park,3330 N Lincoln Avenue,Altadena,91001,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Lomita Library,24200 Narbonne Avenue,Lomita,90717,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Los Feliz Branch Library,1874 Hillhurst Avenue,Los Angeles,90027,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-913-4710
Los Nietos Community and Senior Center,11640 E. Slauson Avenue,Whittier,90606,"Monday-Friday: 8 am - 5 pm",
Malabar Branch Library,2801 Wabash Avenue,Los Angeles,90033,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-263-1497
Malibu Library,23519 W Civic Center Way,Malibu,90265,"Monday-Thursday: 10 am - 8 pm; Friday-Saturday: 9 am - 5 pm",
Manhattan Beach Library,1320 Highland Avenue,Manhattan Beach,90266,"Monday-Wednesday: 10 am - 8 pm; Thursday-Saturday: 10 am - 6 pm",Contact: 310-545-8595
Mar Vista Branch Library,12006 Venice Boulevard,Los Angeles,90066,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 310-390-3454
Mark Twain Branch Library,9621 S. Figueroa Street,Los Angeles,90003,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-755-4088
Mary M. Bethune Park,1244 E 61st Street,Los Angeles,90001,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Memorial Branch Library,4625 W. Olympic Boulevard,Los Angeles,90019,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-755-4088
Mid-Valley Regional Library,16244 Nordhoff Street,North Hills,91343,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-895-3650
Mona Park,2291 E 121st Street,Compton,90222,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Monrovia Community Center,119 W. Palm Avenue,Monrovia,91016,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-962-3521
Monrovia Public Library,321 S. Myrtle Avenue,Monrovia,91016,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 323-962-3521
North Hollywood Amelia Earhart Regional Library,5211 Tujunga Avenue,North Hollywood,91601,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-766-7185
North Torrance Library,3604 Artesia Blvd.,Torrance,90504,"Monday/Wednesday/Friday: 10 am - 2 pm; Tuesday/Thursday: 2 pm - 6 pm; Saturday: 9 am - 5 pm","Additional hours (permission required): Mon/Wed/Fri 2-6 pm; Tue/Thu 10 am - 2 pm"
Northwest Library,3323 W. Victory Boulevard,Burbank,91505,"Monday: 12 pm - 6 pm; Tuesday: 12 pm - 8 pm; Wednesday-Thursday: 12 pm - 6 pm; Sunday: 10 am - 2 pm; Friday-Saturday: Closed",
Norwalk Library,12350 Imperial Highway,Norwalk,90650,"Tuesday-Wednesday: 12 pm - 8 pm; Thursday-Saturday: 10 am - 6 pm",
Pacoima Branch Library,13605 Van Nuys Boulevard,Pacoima,91331,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-360-5706
Palmdale AJCC,38510 Sierra Highway,Palmdale,93550,"Monday-Friday: 8 am - 4:30 pm",
Palms - Rancho Park Branch Library,2920 Overland Avenue,Los Angeles,90064,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 310-840-2142
Palomares Park Community Center,499 E Arrow Highway,Pomona,91766,"Monday-Friday: 10 am - 5 pm; Saturday-Sunday: Closed",
Panorama City Branch Library,14345 Roscoe Boulevard,Panorama City,91402,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 818-894-4071
Paramount Community Center,14400 Paramount Boulevard,Paramount,90723,"Monday-Thursday: 8 am - 5:30 pm; Friday: 8 am - 5 pm","Available 7 days/week when temps exceed 90°F: 8 am - 6 pm"
Pearblossom Park,33922 121st Street E,Pearblossom,93553,"Monday-Thursday: 10:30 am - 9:00 pm; Friday: 10:30 am - 7:00 pm; Saturday: 8:30 am - 5:00 pm",Pet friendly. Dogs must be on leash. Pet owners must be present at all times.
Pico Union Branch Library,1030 S. Alvarado Street,Los Angeles,90006,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-368-7545
Pio Pico - Koreatown Branch Library,694 S. Oxford Avenue,Los Angeles,90005,"Monday: 10 am - 8 pm; Tuesday: 12 noon - 8 pm; Wednesday: 10 am - 8 pm; Thursday: 12 noon - 8 pm; Friday-Saturday: 9:30 am - 5:30 pm; Sunday: Closed",Contact: 213-368-7647
